日,sun,day
月,moon,month
火,fire
水,water
木,tree,wood
金,gold,money,metal
土,earth,soil
山,mountain
川,river
田,rice field
人,person
口,mouth
目,eye
耳,ear
手,hand
足,foot,leg
力,power,strength
心,heart,mind
大,big,large
小,small,little
中,middle,inside
上,up,above
下,down,below
本,book,origin
学,study,learn
生,life,birth
先,previous,ahead
今,now
時,time,hour
分,minute,part
年,year
車,car,vehicle
電,electricity
気,spirit,energy
語,language,word
話,talk,story
聞,hear,listen
書,write,book
読,read
食,eat,food
飲,drink
行,go
来,come
見,see,look
出,exit,leave
入,enter
立,stand
休,rest
何,what
名,name
